"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","GET /posts/:id returns a single post","","2026-06-15","passed","2026-06-15","Posts API","posts.spec.ts","",""
"","25","PATCH /posts/:id updates post fields","","2026-06-15","passed","2026-06-15","Posts API","posts.spec.ts","",""
"","37","PUT /posts/:id replaces a post","","2026-06-15","passed","2026-06-15","Posts API","posts.spec.ts","",""
"","20","GET /posts/:id with invalid id returns 404","","2026-06-15","passed","2026-06-15","Posts API","posts.spec.ts","",""
"","23","GET /posts/:id/comments returns comments for a post","","2026-06-15","passed","2026-06-15","Posts API","posts.spec.ts","",""
"","34","GET /users/:id returns a single user with full shape","","2026-06-15","passed","2026-06-15","Users API","users.spec.ts","",""
"","435","GET /users returns 10 users","","2026-06-15","passed","2026-06-15","Users API","users.spec.ts","",""
"","26","POST /posts creates a new post","","2026-06-15","passed","2026-06-15","Posts API","posts.spec.ts","",""
"","404","GET /posts returns 100 posts","","2026-06-15","passed","2026-06-15","Posts API","posts.spec.ts","",""
"","29","GET /users/:id/posts returns posts belonging to user","","2026-06-15","passed","2026-06-15","Users API","users.spec.ts","",""
"","23","DELETE /posts/:id returns 200","","2026-06-15","passed","2026-06-15","Posts API","posts.spec.ts","",""
